id,timestamp,classification,name,latitude,longitude,maximum sustained wind (mph),minimum central pressure (mb),movement speed (mph), movement direction (degrees)
AL052021,2021-06-30T21:00:00.000Z,Potential Tropical Cyclone,Five,9.6,-43.7,35,1008,21,285
AL052021,2021-07-01T00:00:00.000Z,Potential Tropical Cyclone,Five,9.6,-44.6,35,1008,21,285
AL052021,2021-07-01T03:00:00.000Z,Tropical Depression,Five,9.6,-46.3,35,1008,23,280
AL052021,2021-07-01T06:00:00.000Z,Tropical Depression,Five,9.5,-47.4,35,1007,24,270
AL052021,2021-07-01T09:00:00.000Z,Tropical Storm,Elsa,9.4,-48.8,40,1006,25,275
AL052021,2021-07-01T12:00:00.000Z,Tropical Storm,Elsa,9.6,-50.2,40,1006,25,275
AL052021,2021-07-01T15:00:00.000Z,Tropical Storm,Elsa,10.1,-51.4,45,1006,28,280
AL052021,2021-07-01T18:00:00.000Z,Tropical Storm,Elsa,10.6,-52.6,45,1005,28,285
AL052021,2021-07-01T21:00:00.000Z,Tropical Storm,Elsa,11.2,-53.8,45,1005,29,285
AL052021,2021-07-02T00:00:00.000Z,Tropical Storm,Elsa,11.4,-54.7,45,1005,28,285
AL052021,2021-07-02T03:00:00.000Z,Tropical Storm,Elsa,11.8,-55.9,50,1003,26,290
AL052021,2021-07-02T06:00:00.000Z,Tropical Storm,Elsa,12.1,-57.2,50,1003,26,290
AL052021,2021-07-02T09:00:00.000Z,Tropical Storm,Elsa,12.7,-58.6,60,1001,28,290
AL052021,2021-07-02T12:30:00.000Z,Hurricane,Elsa,13.1,-60.1,75,995,28,285
AL052021,2021-07-02T15:00:00.000Z,Hurricane,Elsa,13.4,-61.2,75,995,29,290
AL052021,2021-07-02T18:00:00.000Z,Hurricane,Elsa,13.7,-62.5,85,991,29,290
AL052021,2021-07-02T21:00:00.000Z,Hurricane,Elsa,14.2,-63.7,85,991,30,280
AL052021,2021-07-03T00:00:00.000Z,Hurricane,Elsa,14.4,-65.1,85,995,30,285
AL052021,2021-07-03T03:00:00.000Z,Hurricane,Elsa,14.8,-66.3,80,995,29,285
