"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)"
AL092021,2021-08-26T15:00:00.000Z,Tropical Depression,Nine,16.9,-79.2,35,1005,13,325
AL092021,2021-08-26T18:00:00.000Z,Tropical Depression,Nine,17.5,-79.5,35,1005,13,325
AL092021,2021-08-26T21:00:00.000Z,Tropical Depression,Nine,18,-79.8,35,1006,14,325
AL092021,2021-08-26T21:20:00.000Z,Tropical Storm,Ida,18,-79.8,40,1006,14,325
AL092021,2021-08-27T00:00:00.000Z,Tropical Storm,Ida,18,-80.1,40,1006,13,310
AL092021,2021-08-27T03:00:00.000Z,Tropical Storm,Ida,18.6,-80.5,40,1006,12,320
AL092021,2021-08-27T06:00:00.000Z,Tropical Storm,Ida,19.4,-80.9,40,1006,12,320
AL092021,2021-08-27T09:00:00.000Z,Tropical Storm,Ida,20,-81.4,45,1001,15,320
AL092021,2021-08-27T12:00:00.000Z,Tropical Storm,Ida,20.3,-81.7,60,996,15,320
AL092021,2021-08-27T15:00:00.000Z,Tropical Storm,Ida,20.7,-82.1,65,996,15,320
AL092021,2021-08-27T17:15:00.000Z,Hurricane,Ida,21.4,-82.4,75,987,15,320
AL092021,2021-08-27T18:00:00.000Z,Hurricane,Ida,21.6,-82.7,75,987,15,325
AL092021,2021-08-27T21:00:00.000Z,Hurricane,Ida,22.1,-83.2,80,985,15,320
AL092021,2021-08-27T23:25:00.000Z,Hurricane,Ida,22.3,-83.3,80,985,15,320
AL092021,2021-08-28T00:00:00.000Z,Hurricane,Ida,22.4,-83.5,80,985,15,320
AL092021,2021-08-28T03:00:00.000Z,Hurricane,Ida,23,-84,80,989,15,320
AL092021,2021-08-28T06:00:00.000Z,Hurricane,Ida,23.5,-84.7,80,987,15,320
AL092021,2021-08-28T09:00:00.000Z,Hurricane,Ida,24,-85.2,80,987,16,315
AL092021,2021-08-28T12:00:00.000Z,Hurricane,Ida,24.4,-85.7,85,985,16,315
AL092021,2021-08-28T15:00:00.000Z,Hurricane,Ida,24.8,-86.1,85,984,16,315
AL092021,2021-08-28T18:00:00.000Z,Hurricane,Ida,25.5,-86.6,100,976,16,315
AL092021,2021-08-28T21:00:00.000Z,Hurricane,Ida,26.2,-87,105,976,16,320
AL092021,2021-08-29T00:00:00.000Z,Hurricane,Ida,26.6,-87.5,105,969,16,320
AL092021,2021-08-29T03:00:00.000Z,Hurricane,Ida,27.2,-88,105,964,16,325
AL092021,2021-08-29T06:00:00.000Z,Hurricane,Ida,27.6,-88.7,115,955,15,320
AL092021,2021-08-29T07:00:00.000Z,Hurricane,Ida,27.7,-88.8,130,949,15,320
AL092021,2021-08-29T08:00:00.000Z,Hurricane,Ida,27.9,-89,130,948,15,320
AL092021,2021-08-29T09:00:00.000Z,Hurricane,Ida,28,-89.1,140,946,15,315
AL092021,2021-08-29T10:00:00.000Z,Hurricane,Ida,28.2,-89.3,145,946,15,315
AL092021,2021-08-29T11:00:00.000Z,Hurricane,Ida,28.3,-89.4,150,935,15,315
AL092021,2021-08-29T12:00:00.000Z,Hurricane,Ida,28.5,-89.6,150,933,15,320
AL092021,2021-08-29T13:00:00.000Z,Hurricane,Ida,28.6,-89.7,150,930,15,320
AL092021,2021-08-29T14:00:00.000Z,Hurricane,Ida,28.7,-89.8,150,930,14,320
AL092021,2021-08-29T15:00:00.000Z,Hurricane,Ida,28.8,-90,150,933,13,320
AL092021,2021-08-29T16:00:00.000Z,Hurricane,Ida,28.9,-90.1,150,933,13,320
AL092021,2021-08-29T16:55:00.000Z,Hurricane,Ida,29.1,-90.2,150,930,13,320
