"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL132024,2024-10-02T15:00:00.000Z,Tropical Depression,Thirteen,10.6,-29.1,35,1006,7,270,,
AL132024,2024-10-02T21:00:00.000Z,Tropical Depression,Thirteen,10.5,-29.7,35,1006,7,260,,
AL132024,2024-10-03T03:00:00.000Z,Tropical Storm,Leslie,10.4,-30.1,40,1005,6,265,,
AL132024,2024-10-03T09:00:00.000Z,Tropical Storm,Leslie,10.3,-30.5,40,1005,6,265,,
AL132024,2024-10-03T15:00:00.000Z,Tropical Storm,Leslie,10.1,-30.8,45,1002,5,260,,
AL132024,2024-10-03T21:00:00.000Z,Tropical Storm,Leslie,10.1,-31.5,50,1001,6,270,,
AL132024,2024-10-04T03:00:00.000Z,Tropical Storm,Leslie,10,-32,50,1001,6,265,,
AL132024,2024-10-04T09:00:00.000Z,Tropical Storm,Leslie,9.8,-32.5,60,997,6,270,,
AL132024,2024-10-04T15:00:00.000Z,Tropical Storm,Leslie,10,-33,65,996,7,290,,
AL132024,2024-10-04T21:00:00.000Z,Tropical Storm,Leslie,10.3,-33.6,70,993,7,290,,
AL132024,2024-10-05T03:00:00.000Z,Hurricane,Leslie,10.4,-34.2,75,989,7,290,10,70
AL132024,2024-10-05T09:00:00.000Z,Hurricane,Leslie,10.7,-34.8,80,985,7,290,10,70
AL132024,2024-10-05T15:00:00.000Z,Hurricane,Leslie,11.1,-35.4,80,985,7,295,15,105
AL132024,2024-10-05T21:00:00.000Z,Hurricane,Leslie,11.6,-36,80,985,8,300,15,105
AL132024,2024-10-06T03:00:00.000Z,Hurricane,Leslie,12.4,-36.9,80,985,9,310,15,90
AL132024,2024-10-06T09:00:00.000Z,Hurricane,Leslie,12.9,-37.3,85,984,10,310,15,90
AL132024,2024-10-06T15:00:00.000Z,Hurricane,Leslie,13.3,-37.9,90,982,9,310,15,90
AL132024,2024-10-06T21:00:00.000Z,Hurricane,Leslie,14,-38.6,90,982,9,310,15,115
AL132024,2024-10-07T03:00:00.000Z,Hurricane,Leslie,15,-39.4,90,980,12,315,15,115
AL132024,2024-10-07T09:00:00.000Z,Hurricane,Leslie,15.6,-40.4,90,980,13,315,15,105
AL132024,2024-10-07T15:00:00.000Z,Hurricane,Leslie,16.4,-41.2,85,985,13,315,15,105
AL132024,2024-10-07T21:00:00.000Z,Hurricane,Leslie,17.4,-42.1,80,988,14,315,15,105
AL132024,2024-10-08T03:00:00.000Z,Hurricane,Leslie,18.4,-43.5,75,988,14,310,25,105
AL132024,2024-10-08T09:00:00.000Z,Tropical Storm,Leslie,18.8,-44.2,70,988,13,310,,
AL132024,2024-10-08T15:00:00.000Z,Tropical Storm,Leslie,19.4,-45.6,70,994,13,310,,
AL132024,2024-10-08T21:00:00.000Z,Hurricane,Leslie,20,-46.4,75,992,14,305,15,105
AL132024,2024-10-09T03:00:00.000Z,Hurricane,Leslie,20.7,-47,80,987,12,310,15,105
AL132024,2024-10-09T09:00:00.000Z,Hurricane,Leslie,21.2,-47.8,80,987,10,310,15,105
AL132024,2024-10-09T15:00:00.000Z,Hurricane,Leslie,21.7,-48.4,85,985,10,305,25,80
AL132024,2024-10-09T21:00:00.000Z,Hurricane,Leslie,22.2,-49,90,982,9,310,25,70
AL132024,2024-10-10T03:00:00.000Z,Hurricane,Leslie,22.6,-49.3,105,972,8,315,25,70
AL132024,2024-10-10T09:00:00.000Z,Hurricane,Leslie,22.9,-49.8,105,972,6,315,25,80
AL132024,2024-10-10T15:00:00.000Z,Hurricane,Leslie,23.2,-50.4,90,980,7,300,15,80
AL132024,2024-10-10T21:00:00.000Z,Tropical Storm,Leslie,23.9,-50.9,70,992,8,315,,
